fecha,sku,producto,unidades_vendidas,nota,is_invalid,raw_value,base_clean_value,cleaned_value,is_imputed,was_anomaly,iso_week,month,year,time_index,imputation_method
2014-01-06,SKU-001,Arroz_500g,754.8,ok,False,754.8,754.8,754.8,False,False,2,1,2014,0,seasonal_median
2014-01-13,SKU-001,Arroz_500g,907.2,ok,False,907.2,907.2,907.2,False,False,3,1,2014,1,seasonal_median
2014-01-20,SKU-001,Arroz_500g,865.2,ok,False,865.2,865.2,865.2,False,False,4,1,2014,2,seasonal_median
2014-01-27,SKU-001,Arroz_500g,812.6,ok,False,812.6,812.6,812.6,False,False,5,1,2014,3,seasonal_median
2014-02-03,SKU-001,Arroz_500g,893.1,ok,False,893.1,893.1,893.1,False,False,6,2,2014,4,seasonal_median
2014-02-10,SKU-001,Arroz_500g,972.0,ok,False,972.0,972.0,972.0,False,False,7,2,2014,5,seasonal_median
2014-02-17,SKU-001,Arroz_500g,1069.3,ok,False,1069.3,1069.3,1069.3,False,False,8,2,2014,6,seasonal_median
2014-02-24,SKU-001,Arroz_500g,956.8,ok,False,956.8,956.8,956.8,False,False,9,2,2014,7,seasonal_median
2014-03-03,SKU-001,Arroz_500g,860.7,ok,False,860.7,860.7,860.7,False,False,10,3,2014,8,seasonal_median
2014-03-10,SKU-001,Arroz_500g,1010.5,ok,False,1010.5,1010.5,1010.5,False,False,11,3,2014,9,seasonal_median
2014-03-17,SKU-001,Arroz_500g,,missing_bloque,True,,,1372.2,True,True,12,3,2014,10,seasonal_median
2014-03-24,SKU-001,Arroz_500g,,missing_bloque,True,,,1318.3,True,True,13,3,2014,11,seasonal_median
2014-03-31,SKU-001,Arroz_500g,,missing_bloque,True,,,1257.0,True,True,14,3,2014,12,seasonal_median
2014-04-07,SKU-001,Arroz_500g,,missing_bloque,True,,,1293.95,True,True,15,4,2014,13,seasonal_median
2014-04-14,SKU-001,Arroz_500g,1011.1,ok,False,1011.1,1011.1,1011.1,False,False,16,4,2014,14,seasonal_median
2014-04-21,SKU-001,Arroz_500g,1022.2,ok,False,1022.2,1022.2,1022.2,False,False,17,4,2014,15,seasonal_median
2014-04-28,SKU-001,Arroz_500g,931.0,ok,False,931.0,931.0,931.0,False,False,18,4,2014,16,seasonal_median
2014-05-05,SKU-001,Arroz_500g,,missing,True,,,1265.3,True,True,19,5,2014,17,seasonal_median
2014-05-12,SKU-001,Arroz_500g,1060.2,ok,False,1060.2,1060.2,1060.2,False,False,20,5,2014,18,seasonal_median
2014-05-19,SKU-001,Arroz_500g,903.9,ok,False,903.9,903.9,903.9,False,False,21,5,2014,19,seasonal_median
2014-05-26,SKU-001,Arroz_500g,859.7,ok,False,859.7,859.7,859.7,False,False,22,5,2014,20,seasonal_median
2014-06-02,SKU-001,Arroz_500g,,missing,True,,,1217.8,True,True,23,6,2014,21,seasonal_median
2014-06-09,SKU-001,Arroz_500g,,missing,True,,,1257.8,True,True,24,6,2014,22,seasonal_median
2014-06-16,SKU-001,Arroz_500g,930.0,ok,False,930.0,930.0,930.0,False,False,25,6,2014,23,seasonal_median
2014-06-23,SKU-001,Arroz_500g,836.5,ok,False,836.5,836.5,836.5,False,False,26,6,2014,24,seasonal_median
2014-06-30,SKU-001,Arroz_500g,876.7,ok,False,876.7,876.7,876.7,False,False,27,6,2014,25,seasonal_median
2014-07-07,SKU-001,Arroz_500g,60.0,outlier_bajo,True,60.0,,1095.1,True,True,28,7,2014,26,seasonal_median
2014-07-14,SKU-001,Arroz_500g,,missing_bloque,True,,,1119.3,True,True,29,7,2014,27,seasonal_median
2014-07-21,SKU-001,Arroz_500g,,missing_bloque,True,,,1233.5,True,True,30,7,2014,28,seasonal_median
2014-07-28,SKU-001,Arroz_500g,,missing_bloque,True,,,1164.3,True,True,31,7,2014,29,seasonal_median
2014-08-04,SKU-001,Arroz_500g,,missing_bloque,True,,,1030.35,True,True,32,8,2014,30,seasonal_median
2014-08-11,SKU-001,Arroz_500g,-69.2,negativo,True,-69.2,,1027.0,True,True,33,8,2014,31,seasonal_median
2014-08-18,SKU-001,Arroz_500g,931.9,ok,False,931.9,931.9,931.9,False,False,34,8,2014,32,seasonal_median
2014-08-25,SKU-001,Arroz_500g,818.6,ok,False,818.6,818.6,818.6,False,False,35,8,2014,33,seasonal_median
2014-09-01,SKU-001,Arroz_500g,757.1,ok,False,757.1,757.1,757.1,False,False,36,9,2014,34,seasonal_median
2014-09-08,SKU-001,Arroz_500g,788.2,ok,False,788.2,788.2,788.2,False,False,37,9,2014,35,seasonal_median
2014-09-15,SKU-001,Arroz_500g,801.7,ok,False,801.7,801.7,801.7,False,False,38,9,2014,36,seasonal_median
2014-09-22,SKU-001,Arroz_500g,753.5,ok,False,753.5,753.5,753.5,False,False,39,9,2014,37,seasonal_median
2014-09-29,SKU-001,Arroz_500g,,missing_bloque,True,,,1103.0,True,True,40,9,2014,38,seasonal_median
2014-10-06,SKU-001,Arroz_500g,,missing_bloque,True,,,1050.95,True,True,41,10,2014,39,seasonal_median
2014-10-13,SKU-001,Arroz_500g,,missing_bloque,True,,,1160.5,True,True,42,10,2014,40,seasonal_median
2014-10-20,SKU-001,Arroz_500g,719.0,ok,False,719.0,719.0,719.0,False,False,43,10,2014,41,seasonal_median
2014-10-27,SKU-001,Arroz_500g,812.7,ok,False,812.7,812.7,812.7,False,False,44,10,2014,42,seasonal_median
2014-11-03,SKU-001,Arroz_500g,771.9,ok,False,771.9,771.9,771.9,False,False,45,11,2014,43,seasonal_median
2014-11-10,SKU-001,Arroz_500g,898.1,ok,False,898.1,898.1,898.1,False,False,46,11,2014,44,seasonal_median
2014-11-17,SKU-001,Arroz_500g,792.6,ok,False,792.6,792.6,792.6,False,False,47,11,2014,45,seasonal_median
2014-11-24,SKU-001,Arroz_500g,829.0,ok,False,829.0,829.0,829.0,False,False,48,11,2014,46,seasonal_median
2014-12-01,SKU-001,Arroz_500g,927.5,ok,False,927.5,927.5,927.5,False,False,49,12,2014,47,seasonal_median
2014-12-08,SKU-001,Arroz_500g,743.3,ok,False,743.3,743.3,743.3,False,False,50,12,2014,48,seasonal_median
2014-12-15,SKU-001,Arroz_500g,866.5,ok,False,866.5,866.5,866.5,False,False,51,12,2014,49,seasonal_median
2014-12-22,SKU-001,Arroz_500g,869.1,ok,False,869.1,869.1,869.1,False,False,52,12,2014,50,seasonal_median
2014-12-29,SKU-001,Arroz_500g,873.1,ok,False,873.1,873.1,873.1,False,False,1,12,2014,51,seasonal_median
2015-01-05,SKU-001,Arroz_500g,807.5,ok,False,807.5,807.5,807.5,False,False,2,1,2015,52,seasonal_median
2015-01-12,SKU-001,Arroz_500g,2573.4,outlier_alto,True,2573.4,,1247.0,True,True,3,1,2015,53,seasonal_median
2015-01-19,SKU-001,Arroz_500g,1030.4,ok,False,1030.4,1030.4,1030.4,False,False,4,1,2015,54,seasonal_median
2015-01-26,SKU-001,Arroz_500g,987.5,ok,False,987.5,987.5,987.5,False,False,5,1,2015,55,seasonal_median
2015-02-02,SKU-001,Arroz_500g,1029.1,ok,False,1029.1,1029.1,1029.1,False,False,6,2,2015,56,seasonal_median
2015-02-09,SKU-001,Arroz_500g,970.6,ok,False,970.6,970.6,970.6,False,False,7,2,2015,57,seasonal_median
2015-02-16,SKU-001,Arroz_500g,1024.5,ok,False,1024.5,1024.5,1024.5,False,False,8,2,2015,58,seasonal_median
2015-02-23,SKU-001,Arroz_500g,-6.1,negativo,True,-6.1,,1355.3,True,True,9,2,2015,59,seasonal_median
2015-03-02,SKU-001,Arroz_500g,1031.4,ok,False,1031.4,1031.4,1031.4,False,False,10,3,2015,60,seasonal_median
2015-03-09,SKU-001,Arroz_500g,1005.5,ok,False,1005.5,1005.5,1005.5,False,False,11,3,2015,61,seasonal_median
2015-03-16,SKU-001,Arroz_500g,,missing,True,,,1372.2,True,True,12,3,2015,62,seasonal_median
2015-03-23,SKU-001,Arroz_500g,1036.4,ok,False,1036.4,1036.4,1036.4,False,False,13,3,2015,63,seasonal_median
2015-03-30,SKU-001,Arroz_500g,1050.1,ok,False,1050.1,1050.1,1050.1,False,False,14,3,2015,64,seasonal_median
2015-04-06,SKU-001,Arroz_500g,1118.0,ok,False,1118.0,1118.0,1118.0,False,False,15,4,2015,65,seasonal_median
2015-04-13,SKU-001,Arroz_500g,,missing,True,,,1340.4,True,True,16,4,2015,66,seasonal_median
2015-04-20,SKU-001,Arroz_500g,1085.8,ok,False,1085.8,1085.8,1085.8,False,False,17,4,2015,67,seasonal_median
2015-04-27,SKU-001,Arroz_500g,,missing,True,,,1420.1,True,True,18,4,2015,68,seasonal_median
2015-05-04,SKU-001,Arroz_500g,1160.9,ok,False,1160.9,1160.9,1160.9,False,False,19,5,2015,69,seasonal_median
2015-05-11,SKU-001,Arroz_500g,1085.9,ok,False,1085.9,1085.9,1085.9,False,False,20,5,2015,70,seasonal_median
2015-05-18,SKU-001,Arroz_500g,957.6,ok,False,957.6,957.6,957.6,False,False,21,5,2015,71,seasonal_median
2015-05-25,SKU-001,Arroz_500g,1017.0,ok,False,1017.0,1017.0,1017.0,False,False,22,5,2015,72,seasonal_median
2015-06-01,SKU-001,Arroz_500g,1146.2,ok,False,1146.2,1146.2,1146.2,False,False,23,6,2015,73,seasonal_median
2015-06-08,SKU-001,Arroz_500g,910.4,ok,False,910.4,910.4,910.4,False,False,24,6,2015,74,seasonal_median
2015-06-15,SKU-001,Arroz_500g,1030.3,ok,False,1030.3,1030.3,1030.3,False,False,25,6,2015,75,seasonal_median
2015-06-22,SKU-001,Arroz_500g,1002.7,ok,False,1002.7,1002.7,1002.7,False,False,26,6,2015,76,seasonal_median
2015-06-29,SKU-001,Arroz_500g,1002.6,ok,False,1002.6,1002.6,1002.6,False,False,27,6,2015,77,seasonal_median
2015-07-06,SKU-001,Arroz_500g,876.5,ok,False,876.5,876.5,876.5,False,False,28,7,2015,78,seasonal_median
2015-07-13,SKU-001,Arroz_500g,987.8,ok,False,987.8,987.8,987.8,False,False,29,7,2015,79,seasonal_median
2015-07-20,SKU-001,Arroz_500g,959.7,ok,False,959.7,959.7,959.7,False,False,30,7,2015,80,seasonal_median
2015-07-27,SKU-001,Arroz_500g,,missing,True,,,1164.3,True,True,31,7,2015,81,seasonal_median
2015-08-03,SKU-001,Arroz_500g,980.8,ok,False,980.8,980.8,980.8,False,False,32,8,2015,82,seasonal_median
2015-08-10,SKU-001,Arroz_500g,902.8,ok,False,902.8,902.8,902.8,False,False,33,8,2015,83,seasonal_median
2015-08-17,SKU-001,Arroz_500g,911.7,ok,False,911.7,911.7,911.7,False,False,34,8,2015,84,seasonal_median
2015-08-24,SKU-001,Arroz_500g,754.9,ok,False,754.9,754.9,754.9,False,False,35,8,2015,85,seasonal_median
2015-08-31,SKU-001,Arroz_500g,854.8,ok,False,854.8,854.8,854.8,False,False,36,8,2015,86,seasonal_median
2015-09-07,SKU-001,Arroz_500g,778.6,ok,False,778.6,778.6,778.6,False,False,37,9,2015,87,seasonal_median
