fecha,sku,producto,nota,raw_value,base_clean_value,cleaned_value,is_imputed,was_anomaly,iso_week,month,year,time_index
2014-01-06,SKU-001,Arroz_500g,ok,754.8,754.8,754.8,False,False,2,1,2014,0
2014-01-13,SKU-001,Arroz_500g,ok,907.2,907.2,907.2,False,False,3,1,2014,1
2014-01-20,SKU-001,Arroz_500g,ok,865.2,865.2,865.2,False,False,4,1,2014,2
2014-01-27,SKU-001,Arroz_500g,ok,812.6,812.6,812.6,False,False,5,1,2014,3
2014-02-03,SKU-001,Arroz_500g,ok,893.1,893.1,893.1,False,False,6,2,2014,4
2014-02-10,SKU-001,Arroz_500g,ok,972.0,972.0,972.0,False,False,7,2,2014,5
2014-02-17,SKU-001,Arroz_500g,ok,1069.3,1069.3,1069.3,False,False,8,2,2014,6
2014-02-24,SKU-001,Arroz_500g,ok,956.8,956.8,956.8,False,False,9,2,2014,7
2014-03-03,SKU-001,Arroz_500g,ok,860.7,860.7,860.7,False,False,10,3,2014,8
2014-03-10,SKU-001,Arroz_500g,ok,1010.5,1010.5,1010.5,False,False,11,3,2014,9
2014-03-17,SKU-001,Arroz_500g,missing_bloque,,,1372.2,True,True,12,3,2014,10
2014-03-24,SKU-001,Arroz_500g,missing_bloque,,,1318.3,True,True,13,3,2014,11
2014-03-31,SKU-001,Arroz_500g,missing_bloque,,,1257.0,True,True,14,3,2014,12
2014-04-07,SKU-001,Arroz_500g,missing_bloque,,,1293.95,True,True,15,4,2014,13
2014-04-14,SKU-001,Arroz_500g,ok,1011.1,1011.1,1011.1,False,False,16,4,2014,14
2014-04-21,SKU-001,Arroz_500g,ok,1022.2,1022.2,1022.2,False,False,17,4,2014,15
2014-04-28,SKU-001,Arroz_500g,ok,931.0,931.0,931.0,False,False,18,4,2014,16
2014-05-05,SKU-001,Arroz_500g,missing,,,1265.3,True,True,19,5,2014,17
2014-05-12,SKU-001,Arroz_500g,ok,1060.2,1060.2,1060.2,False,False,20,5,2014,18
2014-05-19,SKU-001,Arroz_500g,ok,903.9,903.9,903.9,False,False,21,5,2014,19
2014-05-26,SKU-001,Arroz_500g,ok,859.7,859.7,859.7,False,False,22,5,2014,20
2014-06-02,SKU-001,Arroz_500g,missing,,,1217.8,True,True,23,6,2014,21
2014-06-09,SKU-001,Arroz_500g,missing,,,1257.8,True,True,24,6,2014,22
2014-06-16,SKU-001,Arroz_500g,ok,930.0,930.0,930.0,False,False,25,6,2014,23
2014-06-23,SKU-001,Arroz_500g,ok,836.5,836.5,836.5,False,False,26,6,2014,24
2014-06-30,SKU-001,Arroz_500g,ok,876.7,876.7,876.7,False,False,27,6,2014,25
2014-07-07,SKU-001,Arroz_500g,outlier_bajo,60.0,,1095.1,True,True,28,7,2014,26
2014-07-14,SKU-001,Arroz_500g,missing_bloque,,,1119.3,True,True,29,7,2014,27
2014-07-21,SKU-001,Arroz_500g,missing_bloque,,,1233.5,True,True,30,7,2014,28
2014-07-28,SKU-001,Arroz_500g,missing_bloque,,,1164.3,True,True,31,7,2014,29
2014-08-04,SKU-001,Arroz_500g,missing_bloque,,,1030.35,True,True,32,8,2014,30
2014-08-11,SKU-001,Arroz_500g,negativo,-69.2,,1027.0,True,True,33,8,2014,31
2014-08-18,SKU-001,Arroz_500g,ok,931.9,931.9,931.9,False,False,34,8,2014,32
2014-08-25,SKU-001,Arroz_500g,ok,818.6,818.6,818.6,False,False,35,8,2014,33
2014-09-01,SKU-001,Arroz_500g,ok,757.1,757.1,757.1,False,False,36,9,2014,34
2014-09-08,SKU-001,Arroz_500g,ok,788.2,788.2,788.2,False,False,37,9,2014,35
2014-09-15,SKU-001,Arroz_500g,ok,801.7,801.7,801.7,False,False,38,9,2014,36
2014-09-22,SKU-001,Arroz_500g,ok,753.5,753.5,753.5,False,False,39,9,2014,37
2014-09-29,SKU-001,Arroz_500g,missing_bloque,,,1103.0,True,True,40,9,2014,38
2014-10-06,SKU-001,Arroz_500g,missing_bloque,,,1050.95,True,True,41,10,2014,39
2014-10-13,SKU-001,Arroz_500g,missing_bloque,,,1160.5,True,True,42,10,2014,40
2014-10-20,SKU-001,Arroz_500g,ok,719.0,719.0,719.0,False,False,43,10,2014,41
2014-10-27,SKU-001,Arroz_500g,ok,812.7,812.7,812.7,False,False,44,10,2014,42
2014-11-03,SKU-001,Arroz_500g,ok,771.9,771.9,771.9,False,False,45,11,2014,43
2014-11-10,SKU-001,Arroz_500g,ok,898.1,898.1,898.1,False,False,46,11,2014,44
2014-11-17,SKU-001,Arroz_500g,ok,792.6,792.6,792.6,False,False,47,11,2014,45
2014-11-24,SKU-001,Arroz_500g,ok,829.0,829.0,829.0,False,False,48,11,2014,46
